Project,Project Name,Description,Project ID,Work Category Description,Sdescrip,Slineid,Svoltage,Span Start,Span End,Division Description,Division Code,SRA LRA,Complete Date Plan (PI),Complete Date Plan (Trim),Complete Date Forecast (PI),Start Date Actual (PI),Complete Date Actual (PI),Start Date Actual (Trim),Complete Date Forecast (Trim),Complete Date Actual (Trim),Cycle Name,DT Start Date,DT End Date,Project Category,Dist / Trans,Project Year,LRA Mi,SRA Mi,Actual PI,Forecast PI,Actual Trim,Totalmiles,Text Description,Bnerc,Voltage List,Bmajortransferpath,bMajorTransferPath
CR-STAN-MAN,CR-Vaca Sub,CR-Vaca Sub,133025,System Maintenence,VACA-BAHIA,20154,230,SUB/SUB,016/082,Sacramento,SA,S,3/2/2016,4/22/2016,3/2/2016,,,,4/22/2016 0:00:00,,,,,RS,T,2016,70,0,0,60,0,40,NERC,1,"230,NERC",0,0
CR-STAN-MAN,CR-Vaca Sub,CR-Vaca Sub,133025,System Maintenence,Vaca-Contra Costa #1,20155,230,000/000,000/001,Sacramento,SA,S,3/2/2016,4/22/2016,3/2/2016,,,,4/22/2016 0:00:00,,,,,RS,T,2016,70,0,0,60,0,40,NERC,1,"230,NERC",0,0
CR-STAN-MAN,CR-Vaca Sub,CR-Vaca Sub,133025,System Maintenence,Vaca-Contra Costa #2,20156,230,SUB/SUB,000/001,Sacramento,SA,S,3/2/2016,4/22/2016,3/2/2016,,,,4/22/2016 0:00:00,,,,,RS,T,2016,70,0,0,60,0,40,NERC,1,"230,NERC",0,0
CR-STAN-MAN,CR-Vaca Sub,CR-Vaca Sub,133025,System Maintenence,Vaca-Lakeville #1,20157,230,SUB/SUB,016/080,Sacramento,SA,S,3/2/2016,4/22/2016,3/2/2016,,,,4/22/2016 0:00:00,,,,,RS,T,2016,70,0,0,60,0,40,NERC,1,"230,NERC",0,0
CR-STAN-MAN,CR-Vaca Sub,CR-Vaca Sub,133025,System Maintenence,VACA-PARKWAY,20158,230,sub/sub,016/082,Sacramento,SA,S,3/2/2016,4/22/2016,3/2/2016,,,,4/22/2016 0:00:00,,,,,RS,T,2016,70,0,0,60,0,40,NERC,1,"230,NERC",0,0
CR-STAN-MAN,CR-Vaca Sub-NON NERC,CR-Vaca Sub,134700,System Maintenence,VACA-SUISUN,10345,115,sub/sub,016/109,Sacramento,SA,S,1/8/2016,3/10/2016,1/8/2016,,,,3/10/2016 0:00:00,,,,,RS,T,2016,85,0,0,215,0,50,,1,115,0,0
CR-TESLA-LOS BANOS,CR-Vaca Sub,CR-Vaca Sub,133025,System Maintenence,TULUCAY-VACA,20153,230,023/106,007/027,Sacramento,SA,S,3/2/2016,4/22/2016,3/2/2016,,,,4/22/2016 0:00:00,,,,,RS,T,2016,70,0,0,60,0,40,NERC,1,"230,NERC",0,0
CR Mendocino-Cache Jct 1,CR-Vaca Tesla-NERC,CR-Vaca Telsa,133218,System Maintenence,Lambie Sw Sta-Birds Landing Sw Sta,20213,230,012/085,019/132A,Sacramento,SA,S,4/7/2016,5/26/2016,4/7/2016,,,,5/26/2016 0:00:00,,,,,RS,T,2016,60,0,0,30,0,70,,1,"60,230,500,NERC",0,0
CR-Aerial Patrol,CR-Vaca Tesla-NERC,CR-Vaca Telsa,133218,System Maintenence,Birds Landing Sw Sta - Russell,20216,230,000/001,A19/135,Sacramento,SA,S,4/7/2016,5/26/2016,4/7/2016,,,,5/26/2016 0:00:00,,,,,RS,T,2016,60,0,0,30,0,70,,1,"60,230,500,NERC",0,0
CR-Aerial Patrol,CR-Vaca Tesla-NERC,CR-Vaca Telsa,133218,System Maintenence,Birds Landing Sw Sta-Shiloh,20207,230,000/000,000/001,Sacramento,SA,S,4/7/2016,5/26/2016,4/7/2016,,,,5/26/2016 0:00:00,,,,,RS,T,2016,60,0,0,30,0,70,,1,"60,230,500,NERC",0,0
CR-Aerial Patrol,CR-Vaca Tesla-NERC,CR-Vaca Telsa,133218,System Maintenence,Table Mountain-Tesla,50015,500,105/412,109/429,Sacramento,SA,S,4/7/2016,5/26/2016,4/7/2016,,,,5/26/2016 0:00:00,,,,,RS,T,2016,60,0,0,30,0,70,,1,"60,230,500,NERC",0,0
