Project,Project Name,Description,Project ID,Work Category Description,Sdescrip,Slineid,Svoltage,Span Start,Span End,Division Description,Division Code,SRA LRA,Complete Date Plan (PI),Complete Date Plan (Trim),Complete Date Forecast (PI),Start Date Actual (PI),Complete Date Actual (PI),Start Date Actual (Trim),Complete Date Forecast (Trim),Complete Date Actual (Trim),Cycle Name,DT Start Date,DT End Date,Project Category,Dist / Trans,Project Year,LRA Mi,SRA Mi,Actual PI,Forecast PI,Actual Trim,Totalmiles,Text Description,Bnerc,Voltage List,Bmajortransferpath,bMajorTransferPath
Dinuba Energy Tap,DEL MONTE-FORT ORD #2,DEL MONTE #2,135106,Local Maintenance,DEL MONTE #2,60375,60,014/002,Del/sub,Central Coast,CC,S,4/24/2016,9/26/2016,4/24/2016,1/8/2016,,,9/26/2016 0:00:00,,,,,RT,T,2016,0,5.659999847,0,1,0,5.659999847,,0,60,0,0
Sanger Co-Gen Tap,Del Monte-Monterey,Del Monte-Monterey,135369,Local Maintenance,Del Monte-Monterey,60063,60,DEL/sub,Mon/sub,Central Coast,CC,S,3/4/2016,4/18/2016,3/4/2016,1/5/2016,,,4/18/2016 0:00:00,,,,,RT,T,2016,0,2.529999971,0,48,0,2.529999971,,0,60,0,0
CR-Vaca Tesla-NERC,DEL MONTE-VIEJO,DEL MONTE-VIEJO,133123,Local Maintenance,Navy Lab 60kv Tap,60064A,60,A01/032,Nav/sub,Central Coast,CC,S,3/18/2016,6/27/2016,3/18/2016,1/5/2016,,,6/27/2016 0:00:00,,,,,RT,T,2016,0,7.909999847,15,137,0,7.909999847,CR,0,60,0,0
Kearny Tie,DEL MONTE-VIEJO,DEL MONTE-VIEJO,133123,Local Maintenance,DEL MONTE-VIEJO,60064,60,001/021,SW0/017,Central Coast,CC,S,3/18/2016,6/27/2016,3/18/2016,1/5/2016,,,6/27/2016 0:00:00,,,,,RT,T,2016,0,7.909999847,15,137,0,7.909999847,CR,0,60,0,0
Kearny Tie,DEL MONTE-VIEJO,DEL MONTE-VIEJO,133123,Local Maintenance,DEL MONTE-VIEJO,60064,60,Del/sub,Vie/sub,Central Coast,CC,S,3/18/2016,6/27/2016,3/18/2016,1/5/2016,,,6/27/2016 0:00:00,,,,,RT,T,2016,0,7.909999847,15,137,0,7.909999847,CR,0,60,0,0
Helms - Gregg #2 - 1,Derrick Tap,Derrick 70kv Tap,133295,Local Maintenance,Derrick 70kv Tap,70015C,70,001/003,000/014,Fresno,FR,S,6/2/2016,6/3/2016,6/2/2016,,,,6/3/2016 0:00:00,,,,,RT,T,2016,1.049999952,0,0,1,0,1.049999952,70kV,0,70,0,0
Wishon - Coppermine,Diablo - Gates #1,Diablo-Gates #1,133666,System Maintenence,Diablo-Gates #1,50003,500,071/292,079/325,Fresno,FR,S,1/5/2016,1/5/2016,1/5/2016,,,,1/5/2016 0:00:00,,,,,RS,T,2016,0,0,0,1,0,20,500kv,1,"500,NERC",0,0
CR-Los Banos-Midway-1,Dinosaur Point 70kv Tap,Dinosaur Point 70kv Tap,133731,Local Maintenance,Dinosaur Point 70kv Tap,70056A,70,008/001,001/011,Yosemite,YO,S,5/16/2016,6/27/2016,3/13/2016,,,,3/13/2016 0:00:00,,,,,RT,T,2016,0,2.400000095,0,0,0,2.400000095,,0,70,0,0
CR-Los Banos-Midway-1,Dinuba Energy Tap,Dinuba Energy 70kv Tap,135692,Local Maintenance,Dinuba Energy 70kv Tap,70065A,70,002/011,002/021,Fresno,FR,L,9/15/2016,9/15/2016,9/15/2016,,,,9/15/2016 0:00:00,,,,,RT,T,2016,3.049999952,0,0,1,0,3.049999952,70kV,0,70,0,0
Coalinga #1 - Coalinga #2,Dinuba - Orosi,DINUBA-OROSI,135470,Local Maintenance,DINUBA-OROSI,70019,70,020/017,011/000A,Fresno,FR,L,9/15/2016,9/15/2016,9/15/2016,,,,9/15/2016 0:00:00,,,,,RT,T,2016,9.869999886,0,0,1,0,9.869999886,70kV,0,70,0,0
