LATITUDE,LONGITUDE,X,Y,Z,PRIORITY,REGION,DIVISION_ID,TREE_COMMENTS,ROLE_TYPE,INSPECTOR_COMPANY,INSPECT_DATE,CUSTOMER_NOTIFICATION_ID,ALERT_ID,TRIM_CODE,INSPECT_WO_NUMBER,TRIM_WO_NUMBER,SPAN_NBR,TREEID,LINE_NAME,LINE_NBR,TREE_TYPE,STREET_NUM,STREET,CITY_ID,COUNTY_ID,DISPATCHR_ID
38.60722886,-121.48483583,-121.48483583,38.60722886,,R,SA,SA,,PI,ACR,2016-02-08T22:45:05.505Z,O,,R2D,569fc768725255882d4bfe2a,,,56b91aad41788a88706c97d7,DEEPWATER_1_TAP,10350A,COTB,,,,,56b91aad41788a88706c97d7
38.607808523324195,-121.49027491499824,-121.49027491499824,38.607808523324195,,R,SA,SA,,PI,ACR,2016-02-04T20:56:34.201Z,O,,SD,569fc74c725255882d4bfaad,,142,E121490274N38607808,DEEPWATER_1_TAP,10350A,COTB,,,,,569fc74c725255882d4bfaab
38.60779790794316,-121.48845875412502,-121.48845875412502,38.60779790794316,,R,SA,SA,,PI,ACR,2016-02-04T22:01:37.691Z,O,,SD,569fc74c725255882d4bfab2,,142,E121488458N38607797,DEEPWATER_1_TAP,10350A,COTB,,,,,569fc74c725255882d4bfab0
38.607801678609114,-121.49033557698725,-121.49033557698725,38.607801678609114,,N,SA,SA,,PI,ACR,2016-02-04T20:49:25.491Z,N,,,569fc758725255882d4bfc1d,,142,E121490335N38607801,DEEPWATER_1_TAP,10350A,COTB,,,,,569fc758725255882d4bfc15
38.607743240592285,-121.49007881189114,-121.49007881189114,38.607743240592285,,R,SA,SA,,PI,ACR,2016-02-04T21:01:52.128Z,O,,SD,569fc759725255882d4bfc37,,142,E121490078N38607743,DEEPWATER_1_TAP,10350A,COTB,,,,,569fc758725255882d4bfc23
38.60770025585249,-121.49005133297285,-121.49005133297285,38.60770025585249,,N,SA,SA,,PI,ACR,2016-02-04T21:02:08.768Z,N,,,569fc759725255882d4bfc37,,142,E121490051N38607700,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc758725255882d4bfc25
38.6077152652822,-121.49000520559655,-121.49000520559655,38.6077152652822,,N,SA,SA,,PI,ACR,2016-02-04T21:08:03.156Z,N,,,569fc759725255882d4bfc37,,142,E121490005N38607715,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc759725255882d4bfc2d
38.60773325687629,-121.48998163059835,-121.48998163059835,38.60773325687629,,N,SA,SA,,PI,ACR,2016-02-04T21:10:39.319Z,N,,,569fc759725255882d4bfc37,,142,E121489981N38607733,DEEPWATER_1_TAP,10350A,OAKV,,,,,569fc759725255882d4bfc35
38.607583317318294,-121.48919404328619,-121.48919404328619,38.607583317318294,,R,SA,SA,,PI,ACR,2016-02-04T21:15:41.161Z,O,,TO,569fc759725255882d4bfc4b,,142,E121489194N38607583,DEEPWATER_1_TAP,10350A,OAKV,,,,,569fc759725255882d4bfc47
38.6077645088272,-121.48871190664313,-121.48871190664313,38.6077645088272,,N,SA,SA,,PI,ACR,2016-02-04T21:33:10.342Z,N,,,569fc75b725255882d4bfc6d,,142,E121488711N38607764,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc75a725255882d4bfc51
